initial_value	min_pos	min_value	max_pos_99.8	final_value	a	g	pEndemic
0.7945	0	0.7945	9	0.9972	0.22	0.0	0.6
0.5989	5	0.5581	9	0.8938	0.17	5.0	0.2
0.6536	1	0.6459	9	0.9972	0.13	0.0	0.3
0.9003	8	0.7312	0	0.8257	0.13	15.0	0.8
0.5015	9	0.1776	0	0.1776	0.6	20.0	0.0
0.5553	9	0.2063	0	0.2063	0.1	20.0	0.1
0.798	7	0.6491	0	0.797	0.28	10.0	0.6
0.701	9	0.2957	0	0.2957	0.28	20.0	0.4
0.6448	4	0.6145	9	0.9695	0.1	5.0	0.3
0.8992	8	0.6882	0	0.6907	0.77	15.0	0.8
0.655	8	0.5047	0	0.5886	0.1	10.0	0.3
0.8021	4	0.7403	9	0.9443	0.36	5.0	0.6
0.6028	8	0.4213	0	0.4266	0.6	10.0	0.2
0.8526	9	0.5262	0	0.5262	0.13	20.0	0.7
0.4998	9	0.219	0	0.219	0.22	15.0	0.0
0.7566	7	0.6048	9	0.7728	0.13	10.0	0.5
0.8556	9	0.4364	0	0.4364	0.77	20.0	0.7
0.8467	0	0.8467	9	0.9797	0.46	0.0	0.7
0.5028	5	0.4753	9	0.6113	0.28	5.0	0.0
0.6037	9	0.2934	0	0.2934	0.17	15.0	0.2
0.5997	0	0.5997	9	0.754	0.6	0.0	0.2
0.4999	9	0.2184	0	0.2184	0.46	15.0	0.0
0.601	2	0.6	9	0.6805	0.77	0.0	0.2
0.5539	9	0.2499	0	0.2499	0.36	15.0	0.1
0.7486	8	0.554	0	0.5778	0.77	10.0	0.5
0.6424	9	0.2563	0	0.2563	0.22	20.0	0.3
0.5488	9	0.4177	0	0.4177	0.22	10.0	0.1
0.6976	9	0.4107	0	0.4107	0.13	15.0	0.4
0.7951	5	0.7395	9	0.9094	0.46	5.0	0.6
0.6464	8	0.4915	0	0.561	0.17	10.0	0.3
0.5502	0	0.5502	9	0.8663	0.28	0.0	0.1
0.5991	9	0.2176	0	0.2176	0.36	20.0	0.2
0.6504	5	0.5769	9	0.7052	0.6	5.0	0.3
0.6447	9	0.2468	0	0.2468	0.46	20.0	0.3
0.6484	4	0.5759	0	0.6422	0.77	5.0	0.3
0.5505	9	0.3979	0	0.3979	0.46	10.0	0.1
0.4984	9	0.3642	0	0.3642	0.36	10.0	0.0
0.549	9	0.2047	0	0.2047	0.17	20.0	0.1
0.9	8	0.6204	0	0.6342	0.28	20.0	0.8
0.6918	9	0.3447	0	0.3447	0.77	15.0	0.4
0.701	9	0.3012	0	0.3012	0.13	20.0	0.4
0.9018	4	0.8601	9	0.9929	0.22	5.0	0.8
0.6479	9	0.3436	0	0.3436	0.22	15.0	0.3
0.804	7	0.6625	9	0.8508	0.13	10.0	0.6
0.6561	5	0.5945	9	0.8746	0.28	5.0	0.3
0.9008	8	0.7159	0	0.7865	0.28	15.0	0.8
0.5536	9	0.2507	0	0.2507	0.17	15.0	0.1
0.7014	0	0.7014	9	0.9245	0.46	0.0	0.4
0.7017	9	0.2755	0	0.2755	0.77	20.0	0.4
0.5442	0	0.5442	9	0.6767	0.6	0.0	0.1
0.5999	9	0.2877	0	0.2877	0.36	15.0	0.2
0.6444	9	0.3278	0	0.3278	0.46	15.0	0.3
0.5475	0	0.5475	9	0.6112	0.77	0.0	0.1
0.9015	1	0.8957	9	0.9945	0.36	0.0	0.8
0.8005	7	0.624	0	0.6585	0.77	10.0	0.6
0.4993	9	0.1919	0	0.1919	0.22	20.0	0.0
0.9514	1	0.9486	8	0.9995	0.22	0.0	0.9
0.5981	8	0.4562	0	0.4848	0.22	10.0	0.2
0.8522	8	0.6209	0	0.692	0.13	15.0	0.7
0.498	9	0.3735	0	0.3735	0.17	10.0	0.0
0.599	0	0.599	9	0.9391	0.28	0.0	0.2
0.9481	6	0.8918	9	0.9738	0.28	10.0	0.9
0.7456	5	0.6874	9	0.8734	0.46	5.0	0.5
0.505	5	0.4565	9	0.5073	0.6	5.0	0.0
0.4995	9	0.1821	0	0.1821	0.46	20.0	0.0
