max_left_position,max_left_value,max_right_position,max_right_value,min_position,min_value,ratio_of_peaks,euclidean_distance,a,g,pEndemic
0,0.8955,6,0.9998,0,0.8955,0.8957,8.9474,0.46,20.0,0.2
1,0.668,9,0.4793,6,0.4056,1.3937,3.9888,0.46,5.0,0.7
5,0.9799,0,0.0,9,0.5544,0.0,0.0,0.17,10.0,0.2
0,0.72,9,0.1543,8,0.1278,4.6662,7.4358,0.28,0.0,0.0
6,0.9816,0,0.0,9,0.7216,0.0,0.0,0.13,15.0,0.5
3,0.9939,0,0.0,9,0.6821,0.0,0.0,0.22,10.0,0.0
0,0.9511,5,1.0,0,0.9511,0.9511,8.7784,0.22,20.0,0.2
4,0.7253,0,0.0,9,0.0732,0.0,0.0,0.77,10.0,0.4
5,0.9984,0,0.0,9,0.8684,0.0,0.0,0.46,15.0,0.1
0,0.23,9,0.111,5,0.0947,2.0721,7.408,0.77,0.0,0.3
5,0.9998,0,0.0,9,0.9511,0.0,0.0,0.36,15.0,0.0
0,0.4,9,0.2497,5,0.1827,1.6019,7.2682,0.6,0.0,0.3
6,0.875,0,0.0,9,0.3819,0.0,0.0,0.77,20.0,0.6
0,0.54,9,0.497,3,0.3981,1.0865,6.6332,0.46,0.0,0.6
0,0.9483,9,0.3518,8,0.266,2.6956,3.3587,0.28,5.0,0.1
6,0.9963,0,0.0,9,0.8306,0.0,0.0,0.17,15.0,0.3
5,0.9649,0,0.0,9,0.6149,0.0,0.0,0.13,10.0,0.4
5,0.9997,0,0.0,9,0.9379,0.0,0.0,0.22,15.0,0.1
6,0.9873,0,0.0,9,0.7988,0.0,0.0,0.13,20.0,0.6
5,0.9891,0,0.0,9,0.6663,0.0,0.0,0.1,10.0,0.2
2,0.7401,9,0.5912,6,0.501,1.2519,3.7516,0.36,5.0,0.7
4,0.8514,0,0.0,9,0.1443,0.0,0.0,0.6,10.0,0.3
6,0.9905,0,0.0,9,0.777,0.0,0.0,0.28,20.0,0.5
1,0.9754,9,0.7945,7,0.5497,1.2277,2.8945,0.1,5.0,0.2
6,0.3695,0,0.0,9,0.1905,0.0,0.0,0.77,15.0,0.9
5,0.8321,9,0.5849,8,0.5724,1.4226,1.7498,0.28,10.0,0.7
0,0.9177,4,1.0,0,0.9177,0.9177,0.5265,0.6,20.0,0.1
4,1.0,0,0.0,9,0.9972,0.0,0.0,0.1,20.0,0.0
0,0.87,9,0.8462,3,0.4777,1.0281,5.7436,0.13,0.0,0.2
6,0.897,0,0.0,9,0.8287,0.0,0.0,0.13,15.0,0.9
0,0.9411,9,0.7181,7,0.5076,1.3105,3.1595,0.17,5.0,0.3
0,0.78,9,0.7754,2,0.6611,1.0059,4.9003,0.22,0.0,0.7
6,0.9979,0,0.0,9,0.8747,0.0,0.0,0.1,15.0,0.3
0,0.64,9,0.612,3,0.4808,1.0458,5.9371,0.36,0.0,0.6
5,0.9867,0,0.0,9,0.684,0.0,0.0,0.6,15.0,0.2
0,0.9,9,0.894,3,0.6029,1.0067,4.8191,0.1,0.0,0.3
4,0.4078,0,0.0,9,0.1655,0.0,0.0,0.77,10.0,0.8
6,0.9214,0,0.0,9,0.5255,0.0,0.0,0.28,15.0,0.6
1,0.9556,9,0.7927,7,0.5641,1.2055,3.0233,0.13,5.0,0.3
4,0.9062,9,0.8295,8,0.79,1.0925,2.0417,0.13,10.0,0.8
0,0.83,9,0.7848,4,0.4297,1.0576,6.184,0.17,0.0,0.2
2,0.8652,9,0.7438,6,0.5903,1.1632,3.2947,0.22,5.0,0.6
2,0.8471,9,0.7571,6,0.6392,1.1189,3.2247,0.22,5.0,0.7
0,0.83,9,0.811,3,0.5017,1.0234,5.6054,0.17,0.0,0.3
1,0.9673,9,0.7328,7,0.5028,1.32,3.0367,0.13,5.0,0.2
4,0.8891,9,0.8562,8,0.8346,1.0384,2.2959,0.13,10.0,0.9
6,0.8794,0,0.0,9,0.5343,0.0,0.0,0.28,15.0,0.7
0,0.9,9,0.8856,3,0.5188,1.0163,5.3287,0.1,0.0,0.2
4,0.3232,0,0.0,9,0.197,0.0,0.0,0.77,10.0,0.9
6,0.9996,0,0.0,9,0.926,0.0,0.0,0.1,15.0,0.2
0,0.64,9,0.6235,2,0.527,1.0265,5.8646,0.36,0.0,0.7
6,0.9659,0,0.0,9,0.5464,0.0,0.0,0.6,15.0,0.3
0,0.78,9,0.7722,2,0.617,1.0101,5.1933,0.22,0.0,0.6
0,0.9562,9,0.6476,7,0.4466,1.4765,3.116,0.17,5.0,0.2
0,0.87,9,0.8593,3,0.5469,1.0125,5.0676,0.13,0.0,0.3
6,0.9219,0,0.0,9,0.7714,0.0,0.0,0.13,15.0,0.8
0,0.974,5,1.0,0,0.974,0.974,8.8235,0.6,20.0,0.0
0,0.9883,5,1.0,0,0.9883,0.9883,8.7986,0.1,20.0,0.1
4,0.8625,0,0.0,9,0.5201,0.0,0.0,0.28,10.0,0.6
6,0.9973,0,0.0,9,0.8695,0.0,0.0,0.28,20.0,0.4
1,0.9668,9,0.8401,7,0.6219,1.1508,2.9455,0.1,5.0,0.3
6,0.4981,0,0.0,9,0.1596,0.0,0.0,0.77,15.0,0.8
5,0.9819,0,0.0,9,0.6503,0.0,0.0,0.1,10.0,0.3
2,0.7745,9,0.5675,6,0.457,1.3648,3.8044,0.36,5.0,0.6
4,0.8925,0,0.0,9,0.1613,0.0,0.0,0.6,10.0,0.2
7,0.9709,0,0.0,9,0.7698,0.0,0.0,0.13,20.0,0.7
5,1.0,0,0.0,9,0.9748,0.0,0.0,0.22,15.0,0.0
5,0.9527,0,0.0,9,0.6721,0.0,0.0,0.13,10.0,0.5
6,0.7611,0,0.0,9,0.2892,0.0,0.0,0.77,20.0,0.7
0,0.54,9,0.514,3,0.432,1.0506,6.1935,0.46,0.0,0.7
0,0.9733,0,0.0,9,0.1825,0.0,0.0,0.28,5.0,0.0
5,0.9988,0,0.0,9,0.8986,0.0,0.0,0.17,15.0,0.2
0,0.4,9,0.1974,6,0.1457,2.0263,7.469,0.6,0.0,0.2
5,0.9996,0,0.0,9,0.9357,0.0,0.0,0.46,15.0,0.0
0,0.23,9,0.0825,7,0.0709,2.7879,7.5285,0.77,0.0,0.2
5,0.999,0,0.0,9,0.8993,0.0,0.0,0.36,15.0,0.1
4,0.6503,0,0.0,9,0.087,0.0,0.0,0.77,10.0,0.5
0,0.9326,6,0.9997,0,0.9326,0.9329,8.5255,0.22,20.0,0.3
4,0.9853,0,0.0,9,0.5644,0.0,0.0,0.22,10.0,0.1
6,0.9917,0,0.0,9,0.7832,0.0,0.0,0.13,15.0,0.4
1,0.7048,9,0.4466,6,0.3653,1.5781,3.9216,0.46,5.0,0.6
5,0.9671,0,0.0,9,0.5295,0.0,0.0,0.17,10.0,0.3
0,0.72,9,0.4894,5,0.2445,1.4712,7.1891,0.28,0.0,0.1
0,0.9209,5,0.9999,0,0.9209,0.921,0.5411,0.36,20.0,0.2
0,0.7524,9,0.1853,8,0.1601,4.0604,4.2156,0.6,5.0,0.3
0,0.8538,6,0.9988,0,0.8538,0.8548,8.6556,0.46,20.0,0.3
0,0.651,9,0.0847,8,0.0792,7.686,4.6558,0.77,5.0,0.3
3,0.9566,0,0.0,9,0.3196,0.0,0.0,0.46,10.0,0.1
3,0.9854,0,0.0,9,0.5205,0.0,0.0,0.36,10.0,0.0
0,0.9806,5,1.0,0,0.9806,0.9806,8.7949,0.17,20.0,0.1
7,0.8739,0,0.0,9,0.6128,0.0,0.0,0.28,20.0,0.8
5,0.8851,0,0.0,9,0.302,0.0,0.0,0.77,15.0,0.4
6,0.999,0,0.0,9,0.917,0.0,0.0,0.13,20.0,0.4
2,0.8245,9,0.7664,6,0.6839,1.0758,3.2152,0.22,5.0,0.8
6,0.9941,0,0.0,9,0.7953,0.0,0.0,0.22,15.0,0.3
5,0.9378,9,0.728,8,0.7181,1.2882,1.4185,0.13,10.0,0.6
1,0.8991,9,0.536,7,0.3775,1.6774,3.4835,0.28,5.0,0.3
6,0.83,0,0.0,9,0.5867,0.0,0.0,0.28,15.0,0.8
5,0.9998,0,0.0,9,0.9509,0.0,0.0,0.17,15.0,0.1
0,0.54,9,0.4504,5,0.3149,1.1989,6.9742,0.46,0.0,0.4
0,0.6624,6,0.978,0,0.6624,0.6773,8.3439,0.77,20.0,0.4
0,0.4,9,0.131,7,0.0954,3.0534,7.4915,0.6,0.0,0.1
5,0.9966,0,0.0,9,0.8139,0.0,0.0,0.36,15.0,0.2
5,0.9809,0,0.0,9,0.6434,0.0,0.0,0.46,15.0,0.3
0,0.23,9,0.0519,8,0.0455,4.4316,7.5979,0.77,0.0,0.1
0,0.64,9,0.6304,3,0.5681,1.0152,5.7946,0.36,0.0,0.8
4,0.5806,0,0.0,9,0.1081,0.0,0.0,0.77,10.0,0.6
4,1.0,0,0.0,9,0.9935,0.0,0.0,0.22,20.0,0.0
0,0.78,9,0.778,2,0.7423,1.0026,4.4107,0.22,0.0,0.9
5,0.973,0,0.0,9,0.4956,0.0,0.0,0.22,10.0,0.2
6,0.9457,0,0.0,9,0.7241,0.0,0.0,0.13,15.0,0.7
4,0.9961,0,0.0,9,0.7401,0.0,0.0,0.17,10.0,0.0
0,0.72,9,0.6126,4,0.3321,1.1753,6.8615,0.28,0.0,0.2
4,0.7602,9,0.6878,8,0.6638,1.1053,2.1828,0.28,10.0,0.9
1,0.7456,9,0.4104,7,0.3214,1.8168,3.9263,0.46,5.0,0.5
0,0.9,0,0.0,9,0.045,0.0,0.0,0.6,5.0,0.0
0,0.9856,5,1.0,0,0.9856,0.9856,8.703,0.46,20.0,0.0
0,0.9539,6,1.0,0,0.9539,0.9539,0.5139,0.36,20.0,0.1
5,0.9226,0,0.0,9,0.3139,0.0,0.0,0.36,10.0,0.3
0,0.8272,0,0.0,9,0.0176,0.0,0.0,0.77,5.0,0.0
5,0.9291,0,0.0,9,0.2591,0.0,0.0,0.46,10.0,0.2
1,0.6766,9,0.6297,6,0.5916,1.0745,3.7071,0.36,5.0,0.9
6,0.6212,0,0.0,9,0.1513,0.0,0.0,0.77,15.0,0.7
0,0.9631,5,1.0,0,0.9631,0.9631,8.6792,0.17,20.0,0.2
2,0.9018,9,0.6787,7,0.4979,1.3287,3.3922,0.22,5.0,0.4
7,0.943,0,0.0,9,0.7736,0.0,0.0,0.13,20.0,0.8
0,0.83,9,0.2644,7,0.1867,3.1392,7.292,0.17,0.0,0.0
0,0.9792,9,0.6183,7,0.4463,1.5837,3.0516,0.13,5.0,0.1
0,0.54,9,0.5236,3,0.4724,1.0313,6.2586,0.46,0.0,0.8
6,0.9794,0,0.0,9,0.6524,0.0,0.0,0.28,15.0,0.4
7,0.6044,0,0.0,9,0.2394,0.0,0.0,0.77,20.0,0.8
0,0.9,9,0.8554,4,0.4159,1.0521,6.1519,0.1,0.0,0.1
4,0.9989,0,0.0,9,0.905,0.0,0.0,0.6,15.0,0.0
0,0.64,9,0.5797,3,0.3908,1.104,6.591,0.36,0.0,0.4
6,1.0,0,0.0,9,0.9681,0.0,0.0,0.1,15.0,0.1
0,0.78,9,0.7652,3,0.5671,1.0193,5.2695,0.22,0.0,0.5
0,0.9714,9,0.533,7,0.3872,1.8225,3.1432,0.17,5.0,0.1
0,0.87,9,0.3394,7,0.2238,2.5633,7.2629,0.13,0.0,0.0
0,0.978,6,1.0,0,0.978,0.978,8.6325,0.1,20.0,0.2
0,0.7965,6,0.9972,0,0.7965,0.7987,8.6826,0.6,20.0,0.3
2,0.5836,9,0.5246,6,0.4925,1.1125,3.928,0.46,5.0,0.9
5,0.8937,0,0.0,9,0.4549,0.0,0.0,0.28,10.0,0.5
7,0.9333,0,0.0,9,0.6238,0.0,0.0,0.28,20.0,0.7
0,0.9939,9,0.4337,8,0.3795,2.2917,2.8643,0.1,5.0,0.0
4,0.9309,0,0.0,9,0.2047,0.0,0.0,0.6,10.0,0.1
1,0.8064,9,0.5307,7,0.4076,1.5195,3.7754,0.36,5.0,0.5
3,0.9983,0,0.0,9,0.8269,0.0,0.0,0.1,10.0,0.0
2,0.9598,0,0.0,9,0.2737,0.0,0.0,0.6,10.0,0.0
1,0.8363,9,0.487,7,0.354,1.7172,3.7001,0.36,5.0,0.4
5,0.9947,0,0.0,9,0.7279,0.0,0.0,0.1,10.0,0.1
6,0.9688,0,0.0,9,0.6856,0.0,0.0,0.28,20.0,0.6
0,0.9848,9,0.7009,7,0.4873,1.4051,2.9209,0.1,5.0,0.1
1,0.6256,9,0.5032,6,0.449,1.2432,3.9615,0.46,5.0,0.8
5,0.9199,0,0.0,9,0.418,0.0,0.0,0.28,10.0,0.4
6,0.9999,0,0.0,9,0.9644,0.0,0.0,0.1,20.0,0.3
0,0.858,5,0.9995,0,0.858,0.8584,8.9979,0.6,20.0,0.2
0,0.87,9,0.7944,4,0.3717,1.0952,6.4496,0.13,0.0,0.1
0,0.9871,9,0.3067,8,0.2911,3.2185,2.9958,0.17,5.0,0.0
0,0.78,9,0.7584,3,0.5137,1.0285,5.7562,0.22,0.0,0.4
5,0.9953,0,0.0,9,0.8078,0.0,0.0,0.6,15.0,0.1
0,0.64,9,0.6001,4,0.4387,1.0665,6.3471,0.36,0.0,0.5
5,1.0,0,0.0,9,0.9868,0.0,0.0,0.1,15.0,0.0
0,0.9,9,0.3976,6,0.2507,2.2636,7.1445,0.1,0.0,0.0
0,0.54,9,0.5324,2,0.5063,1.0143,5.9843,0.46,0.0,0.9
6,0.9568,0,0.0,9,0.5653,0.0,0.0,0.28,15.0,0.5
7,0.4319,0,0.0,9,0.2253,0.0,0.0,0.77,20.0,0.9
0,0.9914,9,0.3671,8,0.3359,2.7006,2.926,0.13,5.0,0.0
7,0.9063,0,0.0,9,0.8153,0.0,0.0,0.13,20.0,0.9
0,0.83,9,0.7112,4,0.3358,1.167,6.8215,0.17,0.0,0.1
1,0.8829,9,0.7205,6,0.5478,1.2254,3.3987,0.22,5.0,0.5
6,0.7207,0,0.0,9,0.1696,0.0,0.0,0.77,15.0,0.6
0,0.9458,5,0.9998,0,0.9458,0.946,8.5253,0.17,20.0,0.3
4,0.9509,0,0.0,9,0.3391,0.0,0.0,0.36,10.0,0.2
0,0.7706,0,0.0,9,0.0404,0.0,0.0,0.77,5.0,0.1
4,0.897,0,0.0,9,0.2392,0.0,0.0,0.46,10.0,0.3
1,0.7098,9,0.6131,6,0.5443,1.1577,3.7541,0.36,5.0,0.8
0,0.854,9,0.0969,8,0.0902,8.8132,4.0702,0.6,5.0,0.1
0,0.9433,5,1.0,0,0.9433,0.9433,0.5219,0.46,20.0,0.1
0,0.9903,5,1.0,0,0.9903,0.9903,8.516,0.36,20.0,0.0
4,0.99,0,0.0,9,0.6277,0.0,0.0,0.17,10.0,0.1
0,0.72,9,0.6586,4,0.399,1.0932,6.5314,0.28,0.0,0.3
4,0.8,9,0.6447,8,0.6087,1.2409,1.9764,0.28,10.0,0.8
1,0.7821,9,0.3625,7,0.2827,2.1575,3.9054,0.46,5.0,0.4
6,0.9659,0,0.0,9,0.7025,0.0,0.0,0.13,15.0,0.6
5,0.9572,0,0.0,9,0.4683,0.0,0.0,0.22,10.0,0.3
0,0.9726,5,1.0,0,0.9726,0.9726,0.5191,0.22,20.0,0.1
0,0.78,9,0.7769,2,0.7024,1.004,4.5216,0.22,0.0,0.8
