initial_value	min_pos	min_value	max_pos_99.8	final_value	a	pEndemic	g
0.95155	9	0.93835	39	0.9986	0.46	0.9	10.0
0.84785	9	0.82675	27	0.9999	0.1	0.7	10.0
0.598	5	0.5901	39	0.973	0.36	0.2	5.0
0.5016	20	0.49005	39	0.60885	0.28	0.0	20.0
0.94795	17	0.92625	32	0.9999	0.17	0.9	20.0
0.8486	5	0.83855	24	0.9999	0.1	0.7	5.0
0.95025	2	0.94675	31	0.9999	0.28	0.9	0.0
0.5975	9	0.58465	39	0.98945	0.28	0.2	10.0
0.7555	17	0.7028	34	0.9999	0.1	0.5	20.0
0.69915	20	0.63045	39	0.8579	0.6	0.4	20.0
0.95055	8	0.938	31	0.9999	0.22	0.9	10.0
0.85115	0	0.85115	25	0.9999	0.13	0.7	0.0
0.7972	6	0.78695	32	0.99985	0.17	0.6	5.0
0.5982	1	0.59725	39	0.9992	0.22	0.2	0.0
0.94735	12	0.9292	38	0.99935	0.36	0.9	15.0
0.84955	13	0.80455	39	0.9638	0.6	0.7	15.0
0.8031	12	0.76695	31	0.9999	0.1	0.6	15.0
0.90235	14	0.868	39	0.99455	0.46	0.8	15.0
0.6559	1	0.6481	39	0.9902	0.36	0.3	0.0
0.79915	1	0.79895	23	0.9999	0.1	0.6	0.0
0.8984	6	0.8881	36	0.9999	0.28	0.8	5.0
0.65095	15	0.61495	39	0.9929	0.28	0.3	15.0
0.8983	12	0.8716	35	0.9999	0.22	0.8	15.0
0.80235	5	0.78775	29	0.9999	0.13	0.6	5.0
