parameters	max_left_position	max_left_value	max_right_position	max_right_value	min_position	min_value	ratio_of_peaks	euclidean_distance	a	g	pEndemic
0.17_0.00_0.50	0	0.83	35	0.82505	7	0.54375	1.006	15.4687	0.17	0.0	0.5
0.17_5.00_0.50	0	0.9091	37	0.825	10	0.5336	1.1019	14.3379	0.17	5.0	0.5
0.17_10.00_0.50	1	0.9135	37	0.82465	15	0.52655	1.1077	13.0267	0.17	10.0	0.5
0.17_15.00_0.50	5	0.91755	38	0.82525	19	0.51785	1.1118	11.4288	0.17	15.0	0.5
0.17_20.00_0.50	12	0.92195	39	0.82455	22	0.50945	1.1181	10.1848	0.17	20.0	0.5
0.17_0.00_0.60	0	0.83	36	0.82555	4	0.61125	1.0054	14.3382	0.17	0.0	0.6
0.17_5.00_0.60	0	0.89425	35	0.82575	9	0.6045	1.083	13.3304	0.17	5.0	0.6
0.17_10.00_0.60	4	0.89865	37	0.8257	14	0.59765	1.0883	11.7479	0.17	10.0	0.6
0.17_15.00_0.60	6	0.90145	38	0.82565	18	0.581	1.0918	10.561	0.17	15.0	0.6
0.17_20.00_0.60	12	0.90605	38	0.82545	22	0.56925	1.0976	9.5455	0.17	20.0	0.6
0.17_0.00_0.70	0	0.83	35	0.8263	5	0.6709	1.0045	12.746	0.17	0.0	0.7
0.17_5.00_0.70	0	0.87695	35	0.82635	9	0.6634	1.0612	12.0007	0.17	5.0	0.7
0.17_10.00_0.70	1	0.88165	35	0.82645	13	0.64835	1.0668	10.8719	0.17	10.0	0.7
0.17_15.00_0.70	7	0.8857	37	0.82635	17	0.6411	1.0718	9.7512	0.17	15.0	0.7
0.17_20.00_0.70	11	0.89035	38	0.8261	21	0.63655	1.0778	9.0714	0.17	20.0	0.7
0.17_0.00_0.80	0	0.83	34	0.82695	4	0.72805	1.0037	12.3141	0.17	0.0	0.8
0.17_5.00_0.80	1	0.86155	34	0.82695	8	0.72005	1.0418	10.5485	0.17	5.0	0.8
0.17_10.00_0.80	1	0.86425	34	0.82735	13	0.7126	1.0446	9.8815	0.17	10.0	0.8
0.17_15.00_0.80	7	0.86785	36	0.8268	16	0.70545	1.0496	9.033	0.17	15.0	0.8
0.17_20.00_0.80	12	0.87225	37	0.82685	20	0.69845	1.0549	8.2503	0.17	20.0	0.8
0.17_0.00_0.90	0	0.83	32	0.82765	4	0.78165	1.0028	11.3543	0.17	0.0	0.9
0.17_5.00_0.90	0	0.8466	33	0.8273	9	0.7762	1.0233	9.8854	0.17	5.0	0.9
0.17_10.00_0.90	4	0.84735	34	0.82735	12	0.7715	1.0242	8.8346	0.17	10.0	0.9
0.17_15.00_0.90	9	0.8502	35	0.82745	16	0.7675	1.0275	8.9864	0.17	15.0	0.9
0.17_20.00_0.90	12	0.852	36	0.8274	19	0.7656	1.0297	8.0429	0.17	20.0	0.9
0.22_0.00_0.00	0	0.78	39	0.1185	29	0.0426	6.5823	36.7451	0.22	0.0	0.0
